Sample,Buffer,Species,Time,Protocol,Replicate
SS_A1D1,A,SS,1,D,1
SA_S2D1,S,SA,2,D,1
AA_A0D2,A,AA,0,D,2
ST_A0D3,A,ST,0,D,3
SA_A2D1,A,SA,2,D,1
SA_A1D1,A,SA,1,D,1
VV_A1D1,A,VV,1,D,1
SS_S0D1,S,SS,0,D,1
AA_A0D3,A,AA,0,D,3
ST_A1D1,A,ST,1,D,1
AA_S0D1,S,AA,0,D,1
VV_A0D1,A,VV,0,D,1
SS_A2D1,A,SS,2,D,1
AA_S1D1,S,AA,1,D,1
SA_S0D1,S,SA,0,D,1
ST_S0D3,S,ST,0,D,3
SS_A0D3,A,SS,0,D,3
SS_S2D1,S,SS,2,D,1
VV_S0D1,S,VV,0,D,1
VV_A2D1,A,VV,2,D,1
SA_S1D1,S,SA,1,D,1
ST_S2D1,S,ST,2,D,1
ST_S1D1,S,ST,1,D,1
ST_A0D1,A,ST,0,D,1
CC_S0D1,S,CC,0,D,1
VV_S1D1,S,VV,1,D,1
SA_A0D3,A,SA,0,D,3
VV_S2D1,S,VV,2,D,1
VV_A0D3,A,VV,0,D,3
AA_S0D3,S,AA,0,D,3
SS_S0D3,S,SS,0,D,3
ST_A2D1,A,ST,2,D,1
SS_S1D1,S,SS,1,D,1
SS_A0D1,A,SS,0,D,1
SA_S0D3,S,SA,0,D,3
AA_A1D1,A,AA,1,D,1
AA_A2D1,A,AA,2,D,1
AA_A0D1,A,AA,0,D,1
VV_S0D3,S,VV,0,D,3
SA_A0D1,A,SA,0,D,1
AA_S2D1,S,AA,2,D,1
AA_S0D2,S,AA,0,D,2
CC_A0D1,A,CC,0,D,1
ST_S0D1,S,ST,0,D,1
SS_A1Z1,A,SS,1,Z,1
SA_S2Z1,S,SA,2,Z,1
AA_A0Z2,A,AA,0,Z,2
ST_A0Z3,A,ST,0,Z,3
SA_A1Z1,A,SA,1,Z,1
SA_A2Z1,A,SA,2,Z,1
VV_A1Z1,A,VV,1,Z,1
SS_S0Z1,S,SS,0,Z,1
AA_A0Z3,A,AA,0,Z,3
ST_A1Z1,A,ST,1,Z,1
AA_S0Z1,S,AA,0,Z,1
VV_A0Z2,A,VV,0,Z,2
SS_A2Z1,A,SS,2,Z,1
AA_S1Z1,S,AA,1,Z,1
SA_S0Z1,S,SA,0,Z,1
ST_S0Z3,S,ST,0,Z,3
SS_A0Z3,A,SS,0,Z,3
SS_S2Z1,S,SS,2,Z,1
VV_S0Z2,S,VV,0,Z,2
VV_A2Z1,A,VV,2,Z,1
SA_S1Z1,S,SA,1,Z,1
ST_S2Z1,S,ST,2,Z,1
ST_S1Z1,S,ST,1,Z,1
ST_A0Z1,A,ST,0,Z,1
VV_S1Z2,S,VV,1,Z,2
SA_A0Z3,A,SA,0,Z,3
VV_S2Z1,S,VV,2,Z,1
VV_A0Z3,A,VV,0,Z,3
AA_S0Z3,S,AA,0,Z,3
SS_S0Z3,S,SS,0,Z,3
SA_A0Z1,A,SA,0,Z,1
SS_S1Z1,S,SS,1,Z,1
SS_A0Z1,A,SS,0,Z,1
SA_S0Z3,S,SA,0,Z,3
AA_A1Z1,A,AA,1,Z,1
AA_A2Z1,A,AA,2,Z,1
AA_A0Z1,A,AA,0,Z,1
VV_S0Z3,S,VV,0,Z,3
ST_A2Z1,A,ST,2,Z,1
CC_A0Z2,A,CC,0,Z,2
AA_S0Z2,S,AA,0,Z,2
ST_S0Z1,S,ST,0,Z,1
AA_S2Z1,S,AA,2,Z,1